socks5://98.181.137.83:4145  # response: 958.47ms
socks5://98.188.47.132:4145  # response: 1180.6ms
socks5://98.178.72.21:10919  # response: 1754.1ms
socks5://98.188.47.150:4145  # response: 949.05ms
socks5://104.200.152.30:4145  # response: 1155.45ms
socks5://104.200.135.46:4145  # response: 1505.61ms
socks5://107.152.98.5:4145  # response: 1076.54ms
socks5://107.181.161.81:4145  # response: 1092.2ms
socks5://107.181.168.145:4145  # response: 1093.71ms
socks5://111.61.73.175:7302  # response: 2818.24ms
socks5://142.54.228.193:4145  # response: 1312.48ms
socks5://142.54.226.214:4145  # response: 1537.99ms
socks5://142.54.229.249:4145  # response: 1340.5ms
socks5://142.54.235.9:4145  # response: 1213.14ms
socks5://142.54.232.6:4145  # response: 1419.76ms
socks5://142.54.231.38:4145  # response: 1709.86ms
socks5://142.54.236.97:4145  # response: 1369.67ms
socks5://142.54.237.34:4145  # response: 1316.03ms
socks5://142.54.239.1:4145  # response: 1301.07ms
socks5://162.253.68.97:4145  # response: 1379.76ms
socks5://174.77.111.196:4145  # response: 4010.64ms
socks5://174.77.111.198:49547  # response: 975.08ms
socks5://174.77.111.197:4145  # response: 4512.13ms
socks5://174.64.199.79:4145  # response: 8236.22ms
socks5://184.170.245.148:4145  # response: 861.3ms
socks5://184.170.249.65:4145  # response: 871.87ms
socks5://174.64.199.82:4145  # response: 8267.26ms
socks5://184.178.172.3:4145  # response: 944.17ms
socks5://184.178.172.5:15303  # response: 981.35ms
socks5://184.178.172.11:4145  # response: 1111.22ms
socks5://184.178.172.17:4145  # response: 988.23ms
socks5://184.178.172.25:15291  # response: 1041.41ms
socks5://184.178.172.13:15311  # response: 1231.05ms
socks5://184.178.172.18:15280  # response: 1124.34ms
socks5://184.178.172.26:4145  # response: 963.45ms
socks5://184.181.217.194:4145  # response: 6856.18ms
socks5://184.181.217.206:4145  # response: 8037.76ms
socks5://184.181.217.201:4145  # response: 8117.49ms
socks5://184.181.217.210:4145  # response: 7953.36ms
socks5://184.181.217.220:4145  # response: 8008.06ms
socks5://184.181.217.213:4145  # response: 8699.6ms
socks5://192.111.130.5:17002  # response: 1067.08ms
socks5://192.111.129.145:16894  # response: 1169.08ms
socks5://192.111.130.2:4145  # response: 1160.07ms
socks5://192.111.135.17:18302  # response: 943.85ms
